<(word pair),(probability)>
('sub', 'two') 14.0
('12-year', 'veterans') 10.0
('138681', 'acres') 10.0
('14222', 'acres') 10.0
('653446', 'acres') 10.0
('non-service', 'veterans') 10.0
('238548', 'acres') 10.0
('76576', 'acres') 10.0
('$900', 'veterans') 10.0
('3793612', 'acres') 10.0
('6083536', 'acres') 10.0
('190775', 'acres') 10.0
('1626266', 'acres') 10.0
('214940', 'acres') 10.0
('sub', 'submarines') 9.0
('105%', '1928') 9.0
('decontrolled', 'energy') 8.0
('scout', 'two') 7.3
('$13426805', 'estimates') 7.0
('aero', 'hundred') 7.0
('12231', 'acres') 7.0
('141843', 'hundred') 7.0
('sorted', 'will') 7.0
('25346992', 'acres') 7.0
('818', 'acres') 7.0
('$13426805', '1911') 7.0
('6142360', 'acres') 7.0
('1083495', 'acres') 7.0
('propelled', 'will') 7.0
('16684253', 'acres') 7.0
('1427457', 'acres') 7.0
('kitchens', 'shall') 7.0
('reactive', 'will') 7.0
('spectacularly', 'will') 7.0
('atomic-powered', 'legislation') 7.0
('9427', 'acres') 7.0
('linen', 'mills') 6.0
('evenhandedly', 'government') 6.0
("adjutant-general's", 'department') 6.0
('abridging', 'shall') 5.5
('scout', 'submarines') 5.1
('complainant', 'shall') 5.0
("'an", 'act') 4.5
('gunboat', 'two') 4.142857142857143
('$227', 'energy') 4.0
('bygones', 'will') 4.0
('complainant', 'court') 4.0
('860', 'year') 4.0
('dingley', 'tariff') 4.0
('act--and', 'energy') 4.0
('submarines', 'two') 4.0
('cleavage', 'men') 4.0
('gunboat', 'one') 3.857142857142857
('attainder', 'shall') 3.8
('bail', 'shall') 3.6666666666666665
('inviolable', 'shall') 3.6666666666666665
('--and', '--the') 3.6666666666666665
('alienated', 'will') 3.5
('compile', 'labor') 3.5
('fifty-two', 'hundred') 3.5
('cheese', 'will') 3.5
('manipulations', 'shall') 3.5
('warehouses', 'will') 3.5
('--our', '--the') 3.5
('disclaims', 'government') 3.5
('grudging', 'shall') 3.5
('destroyers', 'two') 3.4545454545454546
('gasohol', 'production') 3.3333333333333335
('scout', 'ship') 3.2
('disclaims', 'island') 3.0
('260', 'million') 3.0
('mulattoes', 'persons') 3.0
('15388', 'officers') 3.0
('cds', 'million') 3.0
('dingley', 'islands') 3.0
('undoing', 'will') 3.0
('lockport', 'state') 3.0
('mulattoes', 'vessels') 3.0
('850', 'dollars') 3.0
('4500', 'one') 3.0
('complainant', 'notice') 3.0
('850', 'million') 3.0
('lockport', 'river') 3.0
('4500', 'tons') 3.0
('complainant', 'order') 3.0
('1901-2', 'conference') 3.0
('10240', 'acres') 3.0
('utica', 'waterway') 3.0
('860', 'expenditures') 3.0
('disclaims', 'people') 3.0
('garfield', 'president') 3.0
('mulattoes', 'states') 3.0
('mulattoes', 'united') 3.0
('buttressed', 'government') 3.0
('conjunctures', 'public') 3.0
('260', 'dollars') 3.0
('$25500000', 'year') 3.0
('3982011', 'new') 3.0
('2754', 'expenditures') 3.0
('scathing', 'upon') 3.0
('ment', 'value') 3.0
('commenting', 'upon') 3.0
('insulation', 'new') 3.0
('3982011', 'now') 3.0
('complainant', 'injury') 3.0
('12044', 'government') 3.0
('complainant', 'irreparable') 3.0
('battleships', 'two') 2.7333333333333334
('destroyers', 'one') 2.6818181818181817
('1801', 'courts') 2.6666666666666665
('businessman', 'right') 2.6666666666666665
('gasohol', 'natural') 2.6666666666666665
('gasohol', 'increased') 2.6666666666666665
('eighty-five', 'hundred') 2.6666666666666665
('gunboat', 'submarines') 2.5714285714285716
('cruiser', 'one') 2.526315789473684
('cede', 'states') 2.5
('draw-backs', 'year') 2.5
('scout', 'year') 2.5
('1801', 'circuit') 2.5
('cruiser', 'two') 2.3684210526315788
('unsupported', 'will') 2.3333333333333335
("friars'", 'lands') 2.3333333333333335
('aristocratical', 'will') 2.3333333333333335
('peace-keeping', 'strength') 2.3333333333333335
('incongruities', 'states') 2.3333333333333335
('destroyers', 'submarines') 2.3181818181818183
('admonition', 'will') 2.25
('abolishment', 'shall') 2.25
('mill', 'will') 2.25
('searches', 'shall') 2.2
